method,split,n_cells,accuracy,macro_precision,macro_recall,macro_f1,status,notes
scfoundation_embedding_logreg,validation,2457,0.9743589743589743,0.9624822087297773,0.9337269316099827,0.9455261371955129,complete,
scfoundation_embedding_logreg,test,2457,0.9816849816849816,0.965433824093642,0.9244718953423854,0.9411932964017745,complete,
