method,split,n_cells,accuracy,macro_precision,macro_recall,macro_f1,status,notes
scimilarity_embedding_logreg,validation,2457,0.9731379731379731,0.9275515580266909,0.966011109295338,0.941703831216597,complete,
scimilarity_embedding_logreg,test,2457,0.9715099715099715,0.8835182380719822,0.9143524033898652,0.8871781551829125,complete,
